year;title;author_lastname;author_firstname;gender;pub_year;pub_year_clean;fantasy;epoch;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
2022;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2023;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;;;;1;;;
2025;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;1;;;;;;;;;
2026;Der Sandmann;Hoffmann;E.T.A.;m;1816;1816;1;Romantik;;;;;;;;;;;;;1;;;
2010;Der Sonntag, an dem ich Weltmeister wurde;Delius;Friedrich Christian;m;1994;1994;0;Gegenwartsliteratur;;;;;;1;;;;;;;;;;
2009;Der Spinnerin Nachtlied;Brentano;Clemens;m;1802;1802;0;Romantik;;;;;;;;;1;;;;;;;
2012;Der Spinnerin Nachtlied;Brentano;Clemens;m;1802;1802;0;Romantik;;;;;;;;;1;;;;;;;
2007;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2009;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2010;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2011;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2012;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;;;;;;;;;;;;;1;;;
2019;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2020;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2021;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2022;Der Steppenwolf;Hesse;Hermann;m;1927;1927;0;Expressionismus;1;;;;;;;;;;;;;;;
2021;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;;;;;;;
2022;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;1;;;;;;
2023;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;1;;;;;;;;;1;;;;;;
2024;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2025;Der Trafikant;Seethaler;Robert;m;2012;2012;0;Gegenwartsliteratur;;;;;;;;;;1;;;;;;
2023;Der Untertan;Mann;Heinrich;m;1914;1914;0;Moderne;;;;;;1;;;1;;;;;;;
2024;Der Untertan;Mann;Heinrich;m;1914;1914;0;Moderne;;;;;;1;;;;;;;;;;
2017;Der Verbrecher aus verlorener Ehre;Schiller;Friedrich;m;1786;1786;0;Aufklärung;;;;;;1;;;;;;;;;;
2018;Der Verbrecher aus verlorener Ehre;Schiller;Friedrich;m;1786;1786;0;Aufklärung;;;;;;1;;;;;;;;;;
2021;Der Verlorene;Treichel;Hans-Ulrich;m;1998;1998;0;Postemoderne, Gegenwartsliteratur;1;;;;;;;;;;;;;;;
2015;Der Verschollene;Kafka;Franz;m;1927;1927;0;Expressionismus;;;;;;1;;;;;;;;;;
2016;Der Verschollene;Kafka;Franz;m;1927;1927;0;Expressionismus;;;;;;1;;;;;;;;;;
2023;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;1;;;;;;;;;;;;;;;
2024;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2025;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2026;Der Verschollene;Kafka;Franz;m;1927;1927;0;Moderne;;;;;;;;;;;;;;;1;
2006;Der Vorleser;Schlink;Bernhard;m;1995;1995;0;Postmoderne;;;;1;;;;;;;;;1;;;
2011;Der Zauberlehrling;Goethe;Johann Wolfgang;m;1797;1797;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
2015;Der zerbrochne Krug;Kleist;Heinrich;m;1811;1811;0;Weimarer Klassik, Romantik;;;;;;1;;;;;;;;;;
2016;Der zerbrochne Krug;Kleist;Heinrich;m;1811;1811;0;Weimarer Klassik, Romantik;;;;;;1;;;;;;;;;;
2026;Der zerbrochne Krug;Kleist;Heinrich;m;1811;1811;0;Weimarer Klassik, Romantik;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2006;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;;1;;;;;;;;;;
2017;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;;1;;;;;;;;;;
2018;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;;1;;;;;;;;;;
2022;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;1;;;;;;;;;;;
2023;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;1;;;;;;;;;;;
2021;Deutschland. Ein Wintermärchen;Heine;Heinrich;m;1844;1844;0;Vormärz;;;;;1;;;;;;;;;;;
2007;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2009;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2010;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2011;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2012;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2013;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2014;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2015;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2016;Die Berliner Antigone;Hochhuth;Rolf;m;1980;1980;0;Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2006;Die Blechtrommel;Grass;Günter;m;1959;1959;0;Nachkriegsliteratur;;;;1;;;;;;;;;;;;
2017;Die Dreigroschenoper;Brecht;Bertolt;m;1928;1928;0;Neue Sachlichkeit;;;;;1;;;;;;;;;;;
2018;Die Dreigroschenoper;Brecht;Bertolt;m;1928;1928;0;Neue Sachlichkeit;;;;;1;;;;;;;;;;;
2019;Die Dreigroschenoper;Brecht;Bertolt;m;1928;1928;0;Neue Sachlichkeit;;;;;1;;;;;;;;;;;
2025;Die Furcht vor der Freiheit;Fromm;Erich;m;1941;1941;0;Gegenwartsliteratur;;;;;1;;;;;;;;;;;
2026;Die Furcht vor der Freiheit;Fromm;Erich;m;1941;1941;0;Gegenwartsliteratur;;;;;1;;;;;;;;;;;
2016;Die heilige Johanna der Schlachthöfe;Brecht;Bertolt;m;1931;1931;0;Neue Sachlichkeit;;;;;;;1;;;;;;;;;
2017;Die heilige Johanna der Schlachthöfe;Brecht;Bertolt;m;1931;1931;0;Neue Sachlichkeit;;;;;1;;1;;;;;;;;;
2018;Die heilige Johanna der Schlachthöfe;Brecht;Bertolt;m;1931;1931;0;Neue Sachlichkeit;;;;;1;;1;;;;;;;;;
2019;Die heilige Johanna der Schlachthöfe;Brecht;Bertolt;m;1931;1931;0;Neue Sachlichkeit;;;;;1;;;;;;;;;;;
2021;Die Horen;Schiller;Friedrich;m;1794;1794;0;Weimarer Klassik;;;;;;;;;1;;;;;;;
2011;Die Jahre der Liebe;Nizon;Paul;m;1981;1981;0;Gegenwartsliteratur;;;;;;1;;;;;;;;;;
2017;Die Judenbuche;Droste-Hülshoff;Annette;f;1842;1842;0;Biedermeier;;;;;;1;;;;;;;;;;
2018;Die Judenbuche;Droste-Hülshoff;Annette;f;1842;1842;0;Biedermeier;;;;;;1;;;;;;;;;;
2013;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2014;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2015;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2016;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2017;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2018;Die Jungfrau von Orleans;Schiller;Friedrich;m;1801;1801;0;Weimarer Klassik;;;;;;;1;;;;;;;;;
2008;Die Kindermörderin;Wagner;Heinrich Leopold;m;1776;1776;0;Sturm und Drang;;;;;1;;;;;;;;;;;
2006;Die Leiden des jungen Werthers;Goethe;Johann Wolfgang;m;1774;1774;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2008;Die Leiden des jungen Werthers;Goethe;Johann Wolfgang;m;1774;1774;0;Sturm und Drang;;;;;1;;;;;;;;;;;
2010;Die Leiden des jungen Werthers;Goethe;Johann Wolfgang;m;1774;1774;0;Sturm und Drang;;;;;;;;;1;;;;;;;
2013;Die Leiden des jungen Werthers;Goethe;Johann Wolfgang;m;1774;1774;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2014;Die Leiden des jungen Werthers;Goethe;Johann Wolfgang;m;1774;1774;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2009;Die letzten Tage der Menschheit;Kraus;Karl;m;1918;1918;0;Expressionismus;;;;;1;;;;;;;;;;;
2007;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;1;;;;;;;;;;
2011;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;;;1;;;;;;;
2013;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2014;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2015;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2016;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2017;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2018;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;1;;;;;;;;;
2019;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;;;;1;;;;;;
2020;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;;;;1;;;;;;
2021;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;;;;1;;;;;;
2026;Die Marquise von O.;Kleist;Heinrich;m;1808;1808;0;Weimarer Klassik, Romantik;;;;;;;;;1;;;;;;;
2006;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2007;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;1;;;;;;1;;;
2008;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;1;;;;;;;;;
2009;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2010;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2011;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;1;;;;1;;;
2012;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;1;;;;1;;;
2013;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2014;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2015;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2016;Die Physiker;Dürrenmatt;Friedrich;m;1962;1962;0;Postmoderne, Nachkriegsliteratur;;;;;;;;;;;;;1;;;
2011;Die Räuber;Schiller;Friedrich;m;1781;1781;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2012;Die Räuber;Schiller;Friedrich;m;1781;1781;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2009;Die Ratten;Hauptmann;Gerhart;m;1911;1911;0;Naturalismus;;;;;;;;;1;;;;;;;
2010;Die Ratten;Hauptmann;Gerhart;m;1911;1911;0;Naturalismus;;;;;;;;;1;;;;;;;
2008;Die Soldaten;Lenz;Jakob Michael Reinhold;m;1776;1776;0;Sturm und Drang;;;;;1;;;;;;;;;;;
2010;Die Soldaten;Lenz;Jakob Michael Reinhold;m;1776;1776;0;Sturm und Drang;;;;;;1;;;;;;;;;;
2017;Die unwürdige Greisin;Brecht;Bertolt;m;1949;1949;0;Exilliteratur;;;;;1;;;;;;;;;;;
2018;Die unwürdige Greisin;Brecht;Bertolt;m;1949;1949;0;Exilliteratur;;;;;1;;;;;;;;;;;
2019;Die unwürdige Greisin;Brecht;Bertolt;m;1949;1949;0;Exilliteratur;;;;;1;;;;;;;;;;;
2017;Die verlorene Ehre der Katharina Blum;Böll;Heinrich;m;1974;1974;0;Moderne;;;;;;1;;;;;;;;;;
2018;Die verlorene Ehre der Katharina Blum;Böll;Heinrich;m;1974;1974;0;Moderne;;;;;;1;;;;;;;;;;
2006;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;;;;;;;1;;;
2007;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;1;;;
2008;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;;;;
2009;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;1;;;
2010;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;1;;;
2011;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;1;;;
2012;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;1;;;
2014;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;1;;1;;1;;;;;;;
2015;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;1;;1;;;1;;;;;;
2016;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;1;;1;;;1;;;;;;
2017;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;1;;;;;;
2018;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;1;;;;;;
2019;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;;;;
2020;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;;;;
2021;Die Verwandlung;Kafka;Franz;m;1915;1915;1;Expressionismus;;;;;;;1;;;;;;;;;
2006;Don Karlos: Infant von Spanien;Schiller;Friedrich;m;1787;1787;0;Sturm und Drang, Weimarer Klassik;;;;;;1;;;1;;;;;;;
2007;Don Karlos: Infant von Spanien;Schiller;Friedrich;m;1787;1787;0;Sturm und Drang, Weimarer Klassik;;;;;;;1;;;;;;;;;
2008;Don Karlos: Infant von Spanien;Schiller;Friedrich;m;1787;1787;0;Sturm und Drang, Weimarer Klassik;;;;;;;1;;;;;;;;;
2011;Don Karlos: Infant von Spanien;Schiller;Friedrich;m;1787;1787;0;Sturm und Drang, Weimarer Klassik;;;;;;;1;;;;;;;;;
2012;Don Karlos: Infant von Spanien;Schiller;Friedrich;m;1787;1787;0;Sturm und Drang, Weimarer Klassik;;;;;;;1;;;;;;;;;
2006;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;;;;;;;;1;;;
2007;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;1;1;;;;;;;;;
2008;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;;1;;;;;;;;;
2024;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;;;;;;;;;;1;
2025;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;;;;;;;;;;1;
2026;Effi Briest;Fontane;Theodor;m;1895;1895;0;Realismus;;;;;;;;;;;;;;;1;
2009;Ein apokalyptisches Fragment;Günderrode;Karoline;f;1780-1806;1780;0;Romantik;;;;;;;;;1;;;;;;;
2011;Ein Volksfeind;Ibsen;Henrik;m;1882;1882;0;Realismus;;;;;;;;;1;;;;;;;
2006;Ein Wort;Benn;Gottfried;m;1941;1941;0;Expressionismus;;;;;;;;;1;;;;;;;
2007;Ein Wort;Benn;Gottfried;m;1941;1941;0;Expressionismus;;;;;;;;;1;;;;;;;
2010;Einer;Gstrein;Norbert;m;1988;1988;0;Gegenwartsliteratur;;;;;;1;;;;;;;;;;
2013;Emigranten-Monolog;Kaléko;Mascha;f;1945;1945;0;Exilliteratur;;;;;;1;;;;;;;;;;
2014;Emigranten-Monolog;Kaléko;Mascha;f;1945;1945;0;Exilliteratur;;;;;;1;;;;;;;;;;
2007;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;;1;;;;;;;;;;
2009;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;;;;;;;;;1;;;
2019;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;;1;;;;;;;;;;
2020;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;;1;;;;;;;;;;
2024;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;1;;;;;;;;;;;
2025;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;1;;;;;;;;;;;
2026;Emilia Galotti;Lessing;Gotthold Ephraim;m;1772;1772;0;Aufklärung;;;;;1;;;;;;;;;;;
2012;Entdeckung an einer jungen Frau;Brecht;Bertolt;m;1925;1925;0;Neue Sachlichkeit;;;;;;;;;1;;;;;;;
2014;Erstes Leid;Kafka;Franz;m;1922;1922;0;Expressionismus;;;;;;;;;1;;;;;;;
2020;Fabian. Die Geschichte eines Moralisten;Kästner;Erich;m;1931;1931;0;Neuen Sachlichkeit;;;;;;;;;1;;;;;;;
2010;Faserland;Kracht;Christian;m;1995;1995;0;Popliteratur;;;;;1;;;;;;;;;;;
2011;Faserland;Kracht;Christian;m;1995;1995;0;Popliteratur;;;;;1;;;;;;;;;;;
2013;Faserland;Kracht;Christian;m;1995;1995;0;Popliteratur;;;;;;;;;1;;;;;;;
2006;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;;;;;;;1;;;
2007;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;;;;1;;;
2008;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;1;1;;;;;;;;;
2009;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;;;;1;;;
2010;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;;;;;;;
2011;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;1;;1;;;;;;;;;
2012;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;1;;1;;;;;;;;;
2013;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;1;;1;;;;;;;;;
2014;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;;;;;;;
2015;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;1;;;;;;;
2016;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;;;;;;;
2017;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;1;;;;;;
2018;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;;;;;;;1;;;1;;;;;;
2019;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;1;;;;;;1;;;1;;;;;;
2020;Faust I;Goethe;Johann Wolfgang;m;1808;1808;0;Weimarer Klassik, Sturm und Drang, Romantik, Aufklärung;1;;;;;;1;;;1;;;;;;
